date,day_of_week,meal_type,expected_customers,temperature,weather,special_event,is_weekend,prev_quantity_consumed,prev_quantity_wasted,rolling_avg_consumption,recent_demand_trend,quantity_prepared,quantity_consumed,quantity_wasted,waste_percentage
2026-01-01,Thursday,Breakfast,101,19.0,Sunny,0,0,110.0,15.0,90.0,5.0,100.9,100.9,0.0,0.0
2026-01-01,Thursday,Lunch,212,15.4,Rainy,0,0,100.9,0.0,198.3,6.7,217.1,204.1,13.0,6.0
2026-01-01,Thursday,Dinner,190,16.3,Sunny,0,0,204.1,13.0,148.3,6.7,205.6,171.5,34.1,16.6
2026-01-02,Friday,Breakfast,96,21.6,Sunny,0,0,171.5,34.1,95.3,5.6,94.8,94.4,0.4,0.4
2026-01-02,Friday,Lunch,213,21.3,Sunny,0,0,94.4,0.4,203.0,1.1,234.2,196.0,38.2,16.3
2026-01-02,Friday,Dinner,228,20.6,Sunny,1,0,196.0,38.2,158.8,12.7,247.2,221.1,26.1,10.6
2026-01-03,Saturday,Breakfast,66,18.9,Sunny,0,1,221.1,26.1,96.8,-2.4,69.4,52.7,16.7,24.1
2026-01-03,Saturday,Lunch,178,18.5,Cloudy,0,1,52.7,16.7,201.7,-5.7,202.0,173.5,28.5,14.1
2026-01-03,Saturday,Dinner,135,19.4,Sunny,0,1,173.5,28.5,182.5,38.6,134.2,123.7,10.5,7.8
2026-01-04,Sunday,Breakfast,63,23.2,Sunny,0,1,123.7,10.5,82.7,-30.0,69.7,65.4,4.3,6.2
2026-01-04,Sunday,Lunch,167,17.9,Cloudy,0,1,65.4,4.3,191.2,-17.7,174.7,159.3,15.4,8.8
2026-01-04,Sunday,Dinner,165,23.0,Sunny,0,1,159.3,15.4,172.1,-48.4,187.4,148.8,38.6,20.6
2026-01-05,Monday,Breakfast,99,12.5,Rainy,0,0,148.8,38.6,70.8,-5.4,101.3,99.5,1.8,1.8
2026-01-05,Monday,Lunch,214,24.1,Sunny,0,0,99.5,1.8,176.3,-17.0,216.7,200.7,16.0,7.4
2026-01-05,Monday,Dinner,191,18.8,Sunny,0,0,200.7,16.0,164.5,-15.7,210.2,178.0,32.2,15.3
2026-01-06,Tuesday,Breakfast,98,19.1,Cloudy,0,0,178.0,32.2,72.5,27.0,92.0,89.1,2.9,3.2
2026-01-06,Tuesday,Lunch,235,15.3,Rainy,0,0,89.1,2.9,177.8,22.9,265.7,226.6,39.1,14.7
2026-01-06,Tuesday,Dinner,176,22.3,Sunny,0,0,226.6,39.1,150.2,27.8,170.6,170.2,0.4,0.2
2026-01-07,Wednesday,Breakfast,98,23.8,Sunny,0,0,170.2,0.4,84.7,4.4,103.8,92.2,11.6,11.2
2026-01-07,Wednesday,Lunch,225,21.1,Sunny,0,0,92.2,11.6,195.5,31.1,235.1,210.3,24.8,10.5
2026-01-07,Wednesday,Dinner,195,19.8,Sunny,0,0,210.3,24.8,165.7,4.5,193.9,169.9,24.0,12.4
2026-01-08,Thursday,Breakfast,96,21.5,Sunny,0,0,169.9,24.0,93.6,-1.4,91.7,90.3,1.4,1.5
2026-01-08,Thursday,Lunch,214,13.5,Rainy,0,0,90.3,1.4,212.5,-2.2,220.9,217.7,3.2,1.4
2026-01-08,Thursday,Dinner,195,19.9,Cloudy,0,0,217.7,3.2,172.7,-2.8,218.4,193.0,25.4,11.6
2026-01-09,Friday,Breakfast,105,20.8,Sunny,0,0,193.0,25.4,90.5,-0.2,106.1,99.4,6.7,6.3
